cp1;cp2;REF;Prolific ID (obscured);sesso;eta;valido;gruppo;tempoistr;tempotask;tempovd;tempocheck;tempotot;vd;check
A;182;321;;;;;;;;;;;;
B;183;322;;;;;;;;;;;;
A;184;323;;;;;;;;;;;;
A;185;325;;;;;;;;;;;;
B;186;326;;;;;;;;;;;;
A;187;327;;;;;;;;;;;;
B;188;329;;;;;;;;;;;;
A;189;331;;;;;;;;;;;;
B;190;333;;;;;;;;;;;;
A;191;334;;;;;;;;;;;;
B;192;335;;;;;;;;;;;;
A;193;337;;;;;;;;;;;;
B;194;338;;;;;;;;;;;;
A;195;339;;;;;;;;;;;;
B;196;341;;;;;;;;;;;;
A;197;342;;;;;;;;;;;;
A;198;344;;;;;;;;;;;;
B;199;345;;;;;;;;;;;;
A;200;346;;;;;;;;;;;;
B;201;347;;;;;;;;;;;;
A;202;348;;;;;;;;;;;;
B;203;349;;;;;;;;;;;;
A;204;350;;;;;;;;;;;;
B;205;351;;;;;;;;;;;;
A;206;501;;;;;;;;;;;;
B;207;502;;;;;;;;;;;;
A;208;503;;;;;;;;;;;;
B;209;504;;;;;;;;;;;;
A;210;;;;;;;;;;;;;
A;211;;;;;;;;;;;;;
B;212;;;;;;;;;;;;;
A;213;;;;;;;;;;;;;
