cp1;cp2;REF;email;sesso;eta;valido;gruppo;tempoistr;tempotask;tempovd;tempocheck;tempotot;vd;check;;;;;;;;;;;
A;115;149;;F;24;si;2;5.6961;308.556;16.704;5.2609;524.3759;39;5;;;;;;;;;;;
B;116;150;;F;18;si;3;89.0164;215.4139;38.913;13.0371;425.334;70;1;;;;;;;;;;;
A;117;152;;M;24;si;1;94.41;301.0695;39.4401;10.7517;573.9184;33;3;;;;;;;;;;;
B;118;153;;F;22;si;1;49.53;194.9473;10.8038;6.2994;313.0651;66;3;;;;;;;;;;;
A;119;154;;F;22;si;4;70.1896;223.0394;88.5006;11.7421;474.3264;80;5;;;;;;;;;;;
A;120;155;;F;20;si;2;47.5325;204.3894;13.4662;9.7116;323.1548;25;1;;;;;;;;;;;
B;121;156;;F;21;si;1;44.5357;225.5098;11.3012;12.348;360.4647;64;3;;;;;;;;;;;
A;122;157;;F;22;si;3;29.6651;181.9567;4.4139;6.8542;256.7667;84;1;;;;;;;;;;;
B;123;158;;F;25;si;4;64.9656;274.8172;29.9406;17.4847;438.2694;40;5;;;;;;;;;;;
A;124;159;;F;19;si;2;72.5687;196.5184;37.6084;10.3303;410.0231;65;6;;;;;;;;;;;
B;125;160;;M;20;si;3;52.697;192.132;12.416;8.158;317.161;44;1;;;;;;;;;;;
A;126;161;;M;26;si;1;96.5985;248.3885;43.266;19.1994;608.0953;67;1;;;;;;;;;;;
B;127;162;;F;27;si;4;103.5708;296.9478;145.6223;56.3719;715.5543;74;5;;;;;;;;;;;
A;128;163;;M;24;si;1;39.399;228.903;32.733;8.632;387.054;60;1;;;;;;;;;;;
B;129;164;;M;20;si;2;38.5382;234.2107;11.2465;8.5971;332.9472;77;5;;;;;;;;;;;
A;130;165;;F;24;si;4;64.5692;208.2327;28.1494;6.484;378.396;80;3;;;;;;;;;;;
B;131;166;;F;18;si;3;85.6158;230.3611;52.6321;7.1378;451.9948;71;2;;;;;;;;;;;
A;132;167;;M;25;si;3;40.6944;237.4409;34.9977;10.7992;403.7997;60;4;;;;;;;;;;;
A;133;168;;F;23;si;2;220.8875;261.347;17.1035;10.3682;560.6714;71;6;;;;;;;;;;;
B;134;169;;F;25;si;1;41.0566;224.9766;30.8489;8.2161;362.722;40;6;;;;;;;;;;;
A;135;170;;F;37;si;4;63.8675;351.1111;20.766;8.9335;527.5095;77;5;;;;;;;;;;;
B;136;171;;F;20;si;1;38.991;204.5907;54.8386;9.7142;395.9899;85;1;;;;;;;;;;;
A;137;172;;M;20;si;4;82.5322;211.7475;16.4162;9.9661;429.4508;67;6;;;;;;;;;;;
B;138;174;;F;58;si;2;26.948;287.739;58.088;9.176;429.684;92;7;;;;;;;;;;;
A;139;176;;F;20;si;1;72.052;297.635;13.591;13.89;498.632;47;5;;;;;;;;;;;
B;140;177;;F;24;si;3;28.0824;207.3684;16.4493;5.899;310.7135;70;1;;;;;;;;;;;
A;141;178;;M;24;si;3;26.514;194.81;9.683;5.599;283.986;90;1;;;;;;;;;;;
B;142;179;;F;36;si;4;34.9699;221.526;16.8206;8.5966;323.8754;80;7;;;;;;;;;;;
A;143;180;;F;27;si;2;90.103;253.642;22.266;7.566;462.474;75;7;;;;;;;;;;;
B;144;183;;F;27;si;1;2.728;230.0018;10.5167;2.4177;284.6535;60;7;;;;;;;;;;;
A;145;184;;M;22;no;2;34.849;238.978;19.748;16.623;374.225;65;6;;;;;;;;;;;
A;146;185;;F;32;si;4;153.885;400.4067;37.3884;17.9106;688.5763;80;5;;;;;;;;;;;
B;147;186;;F;21;si;3;58.7279;217.1796;15.7344;9.7904;365.7168;80;1;;;;;;;;;;;
A;148;188;;M;30;si;3;51.3325;550.8322;20.0811;12.0322;684.4087;35;5;;;;;;;;;;;
B;149;189;;M;39;si;4;51.0019;314.1376;9.6464;6.9337;440.284;41;7;;;;;;;;;;;
A;150;190;;F;22;si;1;76.3483;246.0126;11.336;7.3699;435.1112;68;5;;;;;;;;;;;
B;151;191;;F;24;si;2;87.865;312.878;30.399;8.982;536.601;60;5;;;;;;;;;;;
A;152;193;;F;40;si;4;75.085;251.665;45.35;10.915;449.702;95;7;;;;;;;;;;;
B;153;194;;M;22;si;3;43.9744;246.3201;22.2613;12.5473;391.4972;70;1;;;;;;;;;;;
A;154;195;;M;28;si;1;88.3037;283.735;63.0423;15.9103;525.9153;25;1;;;;;;;;;;;
B;155;197;;F;24;si;2;56.1747;300.3938;12.6648;9.9318;442.3229;67;5;;;;;;;;;;;
A;156;198;;F;21;si;4;75.6248;192.8584;21.685;27.4772;406.4222;39;2;;;;;;;;;;;
B;157;199;;M;42;si;2;62.6928;256.1775;14.937;7.3631;401.3935;70;6;;;;;;;;;;;
A;158;200;;F;22;no;1;43.6255;367.9965;12.8708;5.428;575.4489;75;1;;;;;;;;;;;
A;159;201;;M;23;si;3;123.8528;369.3333;39.9101;23.9593;702.4855;90;2;;;;;;;;;;;
B;160;202;;M;23;si;1;85.0001;248.4887;15.9029;8.3512;417.6961;30;2;;;;;;;;;;;
A;161;203;;F;30;si;3;39.9626;230.3125;20.6057;9.5781;364.3262;86;1;;;;;;;;;;;
B;162;204;;F;24;si;2;60.614;246.267;65.143;37;487.463;64;3;;;;;;;;;;;
A;163;205;;F;25;si;4;74.4144;254.9376;39.1117;13.9801;446.0216;80;7;;;;;;;;;;;
B;164;400;;F;19;si;3;68.427;303.332;33.568;10.644;510.34;80;1;;;;;;;;;;;
A;165;401;;F;51;si;1;71.927;328.183;28.492;19.162;594.141;80;1;;;;;;;;;;;
B;166;301;;F;24;si;1;51.7406;238.8377;27.698;17.7635;443.8852;54;1;;;;;;;;;;;
A;167;303;;F;62;si;2;228.9;405.789;61.066;13.433;772.072;35;7;;;;;;;;;;;
B;168;304;;F;23;si;1;27.9025;218.4162;12.4571;8.997;319.3897;20;1;;;;;;;;;;;
A;169;305;;F;22;si;2;97.2905;347.2933;46.0564;11.3167;586.6048;41;3;;;;;;;;;;;
B;170;306;;F;21;si;2;53.9713;225.1571;25.7594;9.9303;440.428;60;3;;;;;;;;;;;
A;171;307;;F;22;si;1;63.2115;208.0367;13.811;8.5635;355.6723;50;1;;;;;;;;;;;
A;172;308;;F;20;si;1;26.6461;189.8306;8.0318;10.0311;284.4298;75;2;;;;;;;;;;;
B;173;309;;F;20;si;2;35.6953;220.9554;8.5401;8.0652;311.9932;63;5;;;;;;;;;;;
A;174;310;;F;21;si;2;85.5942;318.9103;68.9517;18.3916;578.8998;63;2;;;;;;;;;;;
B;175;311;;F;20;si;1;38.6915;194.5615;10.5355;10.7206;319.4536;50;3;;;;;;;;;;;
A;176;312;;M;20;si;2;34.2144;227.2221;15.0157;7.0186;400.0846;83;6;;;;;;;;;;;
B;177;315;;M;39;si;1;3.0332;209.9944;7.6664;8.5826;263.4681;50;1;;;;;;;;;;;
A;178;316;;F;20;si;1;70.5584;238.7689;15.2402;24.7899;437.5177;65;5;;;;;;;;;;;
B;179;318;;F;21;si;1;52.6987;279.0674;22.2293;10.8656;446.8615;72;1;;;;;;;;;;;
A;180;319;;F;51;si;2;83.3481;309.2338;30.5537;13.2196;584.7192;48;5;;;;;;;;;;;
B;181;320;;M;21;si;2;34.2837;212.1067;11.7878;8.2419;311.1252;70;4;;;;;;;;;;;
A;182;321;;F;25;si;2;83.225;355.974;19.335;11.176;538.269;48;6;;;;;;;;;;;
B;183;322;;M;22;si;1;37.2168;190.6732;16.8875;5.7011;305.2657;74;3;;;;;;;;;;;
A;184;323;;F;21;si;1;99.6378;313.3502;31.2175;26.0576;572.0046;70;3;;;;;;;;;;;
A;185;325;;F;24;si;1;63.7381;220.4531;27.0553;7.7082;382.1817;62;3;;;;;;;;;;;
B;186;326;;F;19;si;2;46.3119;224.6192;29.7363;23.8383;389.3975;63;2;;;;;;;;;;;
A;187;327;;F;20;si;2;63.1483;302.1467;14.6778;7.3715;486.0965;76;5;;;;;;;;;;;
B;188;329;;F;31;si;1;44.5051;201.4224;13.8085;7.8511;320.6255;73;1;;;;;;;;;;;
A;189;331;;M;23;si;2;11.6189;167.7962;13.6025;8.0025;240.1272;88;2;;;;;;;;;;;
B;190;333;;F;36;si;1;46.2581;172.7873;12.6842;10.0848;300.4116;90;1;;;;;;;;;;;
